primera_columna,segunda_columna,tercera_columna
¿Que es la fotosintesis?,Proceso mediante el cual las plantas convierten la luz solar en energia quimica,1
¿Cual es la formula del agua?,H2O,2
¿Que planeta es conocido como el planeta rojo?,Marte,3
¿Que es la gravedad?,Fuerza que atrae los objetos con masa entre si,4
¿Cual es el gas mas abundante en la atmosfera terrestre?,Nitrogeno,5
¿Que mide el termometro?,La temperatura,6
¿Que es un atomo?,La unidad mas pequena de la materia,7
¿Quien propuso la teoria de la relatividad?,Albert Einstein,8
¿Que es el ADN?,Molecula que contiene la informacion genetica de los seres vivos,9
¿Que organo bombea la sangre?,El corazon,10
¿Que es la energia?,Capacidad de realizar trabajo,11
¿Cual es el satelite natural de la Tierra?,La Luna,12
¿Que es un ecosistema?,Conjunto de seres vivos y su entorno interactuando,13
¿Que estudia la biologia?,El estudio de los seres vivos,14
¿Que es la velocidad de la luz?,Aproximadamente 300000 km por segundo,15
